_sim,151.082,150.678,150.261,150.0,151.092,150.697,150.273,150.0,151.114,150.735,150.273,150.027
obs,151.0923,150.6974,150.2741,150.0002,151.1145,150.7361,150.2735,150.0282,151.1364,150.7395,150.305,150.0466
_sim,151.092,150.697,150.233,150.0,151.114,150.736,150.261,150.028,151.136,150.739,150.274,150.046
obs,151.1145,150.7361,150.2616,150.0282,151.1364,150.7395,150.2741,150.0466,151.1543,150.7499,150.2735,150.0536
_sim,151.114,150.736,150.274,150.028,151.136,150.739,150.273,150.046,151.154,150.749,150.304,150.053
obs,151.1364,150.7395,150.2735,150.0466,151.1543,150.7499,150.305,150.0536,151.1652,150.7527,150.3133,150.055
_sim,151.136,150.739,150.273,150.046,151.154,150.749,150.304,150.053,151.165,150.752,150.312,150.054
obs,151.1543,150.7499,150.305,150.0536,151.1652,150.7527,150.3133,150.055,151.1781,150.7665,150.3295,150.0725
_sim,151.154,150.749,150.304,150.054,151.165,150.752,150.313,150.054,151.177,150.766,150.329,150.072
obs,151.1652,150.7527,150.3133,150.055,151.1781,150.7665,150.3295,150.0725,151.1939,150.7766,150.3289,150.0913
_sim,151.165,150.752,150.313,150.055,151.178,150.766,150.329,150.072,151.193,150.776,150.328,150.091
obs,151.1781,150.7665,150.3295,150.0725,151.1939,150.7766,150.3289,150.0913,151.1997,150.7948,150.3452,150.102
_sim,151.178,150.766,150.329,150.073,151.194,150.776,150.328,150.091,151.199,150.794,150.344,150.102
obs,151.1939,150.7766,150.3289,150.0913,151.1997,150.7948,150.3452,150.102,151.2073,150.8023,150.3575,150.0036
_sim,151.194,150.776,150.328,150.091,151.199,150.794,150.344,150.102,151.207,150.801,150.357,150.002
obs,151.1997,150.7948,150.3452,150.102,151.2073,150.8023,150.3575,150.0036,151.2182,150.819,150.3653,150.0192
_sim,151.199,150.794,150.344,150.102,151.207,150.801,150.356,150.002,151.217,150.818,150.364,150.019
obs,151.2073,150.8023,150.3575,150.0036,151.2182,150.819,150.3653,150.0192,151.2294,150.8335,150.2914,150.0413
_sim,151.206,150.801,150.356,150.003,151.217,150.817,150.363,150.017,151.227,150.831,150.289,150.039
obs,151.2182,150.819,150.3653,150.0192,151.2294,150.8335,150.2914,150.0413,151.2405,150.8452,150.3078,150.0172
_sim,151.217,150.817,150.363,150.017,151.228,150.832,150.289,150.04,151.238,150.843,150.305,150.014
obs,151.2294,150.8335,150.2914,150.0413,151.2405,150.8452,150.3078,150.0172,151.2563,150.8602,150.3033,150.0178
_sim,151.228,150.832,150.289,150.039,151.238,150.843,150.305,150.015,151.253,150.858,150.3,150.015
obs,151.2405,150.8452,150.3078,150.0172,151.2563,150.8602,150.3033,150.0178,151.2738,150.8734,150.2947,150.0211
_sim,151.238,150.843,150.305,150.015,151.254,150.858,150.3,150.015,151.271,150.871,150.291,150.018
obs,151.2563,150.8602,150.3033,150.0178,151.2738,150.8734,150.2947,150.0211,151.2829,150.8792,150.2943,150.0196
_sim,151.254,150.858,150.291,150.015,151.271,150.871,150.29,150.018,151.279,150.876,150.305,150.016
obs,151.2738,150.8734,150.2943,150.0211,151.2829,150.8792,150.3101,150.0196,151.2967,150.8946,150.3012,149.9963
